ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:50,ptbxl,lp,4,pl50,10,0.7861,0.4725,0.8842,0.6612,-9.81,-18.87,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,pl50,20,0.8381,0.5593,0.8907,0.6574,-5.26,-9.80,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl50,20,0.8251,0.5579,0.8795,0.6412,-5.44,-8.33,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl50,20,0.8275,0.5520,0.8842,0.6612,-5.67,-10.92,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,pl60,0,0.6079,0.2830,0.8907,0.6574,-28.28,-37.44,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl60,0,0.6122,0.2732,0.8795,0.6412,-26.73,-36.79,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl60,0,0.6664,0.3140,0.8842,0.6612,-21.78,-34.72,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,pl60,5,0.6592,0.3209,0.8907,0.6574,-23.15,-33.65,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl60,5,0.6774,0.3444,0.8795,0.6412,-20.21,-29.68,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl60,5,0.6991,0.3650,0.8842,0.6612,-18.50,-29.62,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,pl60,10,0.7924,0.4860,0.8907,0.6574,-9.84,-17.14,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl60,10,0.7561,0.4243,0.8795,0.6412,-12.34,-21.69,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl60,10,0.7567,0.4317,0.8842,0.6612,-12.75,-22.96,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,pl60,20,0.8346,0.5619,0.8907,0.6574,-5.61,-9.55,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl60,20,0.8270,0.5608,0.8795,0.6412,-5.25,-8.04,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl60,20,0.8235,0.5470,0.8842,0.6612,-6.06,-11.42,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,qual_amp,0.8,0.8870,0.6541,0.8907,0.6574,-0.37,-0.33,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.8,0.8766,0.6409,0.8795,0.6412,-0.29,-0.02,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.8,0.8800,0.6547,0.8842,0.6612,-0.42,-0.65,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,qual_amp,0.6,0.8740,0.6323,0.8907,0.6574,-1.68,-2.51,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.6,0.8652,0.6256,0.8795,0.6412,-1.43,-1.55,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.6,0.8671,0.6313,0.8842,0.6612,-1.71,-2.99,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,qual_amp,0.4,0.8338,0.5668,0.8907,0.6574,-5.69,-9.06,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.4,0.8288,0.5626,0.8795,0.6412,-5.07,-7.86,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.4,0.8291,0.5721,0.8842,0.6612,-5.51,-8.91,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,qual_amp,0.2,0.7009,0.3938,0.8907,0.6574,-18.98,-26.36,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.2,0.7181,0.4112,0.8795,0.6412,-16.13,-22.99,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.2,0.7164,0.4199,0.8842,0.6612,-16.78,-24.14,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,qual_noise,20,0.8387,0.5527,0.8907,0.6574,-5.20,-10.46,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_noise,20,0.8402,0.5678,0.8795,0.6412,-3.93,-7.34,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_noise,20,0.8346,0.5389,0.8842,0.6612,-4.96,-12.24,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,qual_noise,15,0.8222,0.5190,0.8907,0.6574,-6.85,-13.84,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_noise,15,0.8154,0.5163,0.8795,0.6412,-6.41,-12.49,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_noise,15,0.8083,0.4993,0.8842,0.6612,-7.59,-16.19,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,qual_noise,10,0.7618,0.4329,0.8907,0.6574,-12.89,-22.45,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_noise,10,0.7249,0.3914,0.8795,0.6412,-15.46,-24.98,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_noise,10,0.7568,0.4249,0.8842,0.6612,-12.73,-23.63,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,qual_noise,5,0.6480,0.3068,0.8907,0.6574,-24.27,-35.06,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_noise,5,0.6189,0.2859,0.8795,0.6412,-26.06,-35.53,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_noise,5,0.6836,0.3297,0.8842,0.6612,-20.06,-33.15,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,swap01,II<->III,0.8477,0.5880,0.8907,0.6574,-4.31,-6.94,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,swap01,II<->III,0.8482,0.5854,0.8795,0.6412,-3.13,-5.57,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,swap01,II<->III,0.8448,0.5937,0.8842,0.6612,-3.94,-6.75,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,swap12,III<->V1,0.8473,0.5909,0.8907,0.6574,-4.34,-6.64,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,swap12,III<->V1,0.8434,0.5773,0.8795,0.6412,-3.61,-6.39,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,swap12,III<->V1,0.8394,0.5797,0.8842,0.6612,-4.48,-8.15,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,swap23,V1<->V2,0.8727,0.6308,0.8907,0.6574,-1.80,-2.66,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,swap23,V1<->V2,0.8622,0.6082,0.8795,0.6412,-1.73,-3.30,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
