ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:50,ptbxl,lp,2,qual_amp,0.8,0.9096,0.7101,0.9152,0.7144,-0.56,-0.43,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.8,0.9076,0.7019,0.9135,0.7037,-0.59,-0.19,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.6,0.8901,0.6606,0.9152,0.7144,-2.51,-5.38,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.6,0.8875,0.6570,0.9135,0.7037,-2.60,-4.67,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.4,0.8397,0.5871,0.9152,0.7144,-7.55,-12.73,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.4,0.8360,0.5823,0.9135,0.7037,-7.75,-12.14,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.2,0.7353,0.4542,0.9152,0.7144,-17.99,-26.02,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.2,0.7326,0.4667,0.9135,0.7037,-18.09,-23.71,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_noise,20,0.8481,0.5826,0.9152,0.7144,-6.71,-13.18,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_noise,20,0.8466,0.5828,0.9135,0.7037,-6.69,-12.09,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_noise,15,0.8079,0.5118,0.9152,0.7144,-10.73,-20.26,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_noise,15,0.8185,0.5281,0.9135,0.7037,-9.50,-17.56,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_noise,10,0.7399,0.4139,0.9152,0.7144,-17.53,-30.05,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_noise,10,0.7683,0.4475,0.9135,0.7037,-14.52,-25.62,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_noise,5,0.6414,0.3018,0.9152,0.7144,-27.38,-41.26,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,qual_noise,5,0.6488,0.3111,0.9135,0.7037,-26.47,-39.26,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:51,ptbxl,lp,2,swap01,II<->III,0.8647,0.6324,0.9152,0.7144,-5.04,-8.20,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,swap01,II<->III,0.8751,0.6393,0.9135,0.7037,-3.84,-6.44,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:51,ptbxl,lp,2,swap12,III<->V1,0.8899,0.6693,0.9152,0.7144,-2.53,-4.51,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,swap12,III<->V1,0.8850,0.6593,0.9135,0.7037,-2.85,-4.44,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:51,ptbxl,lp,2,swap23,V1<->V2,0.8981,0.6780,0.9152,0.7144,-1.71,-3.64,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,swap23,V1<->V2,0.8982,0.6730,0.9135,0.7037,-1.53,-3.07,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:51,ptbxl,lp,2,swap34,V2<->V3,0.9091,0.7057,0.9152,0.7144,-0.60,-0.87,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,swap34,V2<->V3,0.9111,0.6999,0.9135,0.7037,-0.24,-0.38,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:51,ptbxl,lp,2,swap45,V3<->V4,0.9148,0.7119,0.9152,0.7144,-0.03,-0.26,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,swap45,V3<->V4,0.9130,0.7006,0.9135,0.7037,-0.05,-0.31,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:51,ptbxl,lp,2,swap56,V4<->V5,0.9124,0.7076,0.9152,0.7144,-0.27,-0.68,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,swap56,V4<->V5,0.9107,0.6998,0.9135,0.7037,-0.28,-0.39,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:51,ptbxl,lp,2,swap67,V5<->V6,0.9131,0.7059,0.9152,0.7144,-0.21,-0.85,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,swap67,V5<->V6,0.9127,0.6996,0.9135,0.7037,-0.08,-0.42,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
