ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:49,ptbxl,lp,0,bw,0,0.8719,0.6337,0.8860,0.6563,-1.41,-2.27,1739,d9490c8,af242a89c340,7d9a524cc38e
09-22 20:49,ptbxl,lp,2,bw,0,0.8712,0.6241,0.8845,0.6518,-1.33,-2.77,1739,d9490c8,d3f8979f70cd,7d9a524cc38e
09-22 20:49,ptbxl,lp,4,bw,0,0.8787,0.6342,0.8876,0.6579,-0.89,-2.37,1739,d9490c8,5979f2301720,7d9a524cc38e
09-22 20:49,ptbxl,lp,0,bw,5,0.8812,0.6510,0.8860,0.6563,-0.48,-0.53,1739,d9490c8,af242a89c340,7d9a524cc38e
09-22 20:49,ptbxl,lp,2,bw,5,0.8824,0.6436,0.8845,0.6518,-0.21,-0.82,1739,d9490c8,d3f8979f70cd,7d9a524cc38e
09-22 20:49,ptbxl,lp,4,bw,5,0.8844,0.6490,0.8876,0.6579,-0.32,-0.89,1739,d9490c8,5979f2301720,7d9a524cc38e
09-22 20:49,ptbxl,lp,0,bw,10,0.8851,0.6586,0.8860,0.6563,-0.09,+0.22,1739,d9490c8,af242a89c340,7d9a524cc38e
09-22 20:49,ptbxl,lp,2,bw,10,0.8846,0.6507,0.8845,0.6518,+0.01,-0.11,1739,d9490c8,d3f8979f70cd,7d9a524cc38e
09-22 20:49,ptbxl,lp,4,bw,10,0.8870,0.6567,0.8876,0.6579,-0.07,-0.12,1739,d9490c8,5979f2301720,7d9a524cc38e
09-22 20:49,ptbxl,lp,0,bw,20,0.8862,0.6569,0.8860,0.6563,+0.03,+0.06,1739,d9490c8,af242a89c340,7d9a524cc38e
09-22 20:49,ptbxl,lp,2,bw,20,0.8845,0.6521,0.8845,0.6518,+0.00,+0.03,1739,d9490c8,d3f8979f70cd,7d9a524cc38e
09-22 20:49,ptbxl,lp,4,bw,20,0.8872,0.6569,0.8876,0.6579,-0.04,-0.10,1739,d9490c8,5979f2301720,7d9a524cc38e
09-22 20:49,ptbxl,lp,0,emg,0,0.6222,0.2682,0.8860,0.6563,-26.37,-38.81,1739,d9490c8,af242a89c340,7d9a524cc38e
09-22 20:49,ptbxl,lp,2,emg,0,0.5641,0.2408,0.8845,0.6518,-32.04,-41.10,1739,d9490c8,d3f8979f70cd,7d9a524cc38e
09-22 20:49,ptbxl,lp,4,emg,0,0.5954,0.2684,0.8876,0.6579,-29.22,-38.95,1739,d9490c8,5979f2301720,7d9a524cc38e
09-22 20:49,ptbxl,lp,0,emg,5,0.6878,0.3494,0.8860,0.6563,-19.82,-30.70,1739,d9490c8,af242a89c340,7d9a524cc38e
09-22 20:49,ptbxl,lp,2,emg,5,0.6758,0.3220,0.8845,0.6518,-20.87,-32.98,1739,d9490c8,d3f8979f70cd,7d9a524cc38e
09-22 20:49,ptbxl,lp,4,emg,5,0.6723,0.3123,0.8876,0.6579,-21.53,-34.56,1739,d9490c8,5979f2301720,7d9a524cc38e
09-22 20:49,ptbxl,lp,0,emg,10,0.7691,0.4525,0.8860,0.6563,-11.69,-20.39,1739,d9490c8,af242a89c340,7d9a524cc38e
