ckpt,downstream,auroc,auprc
c1_nfh_b0,ptbxl,0.8907,0.6574
c1_nfh_b0,cpsc,0.9538,0.7857
c1_nfh_b0,chapman,0.9964,0.9891
b0_anchor,ptbxl,0.9116,0.7177
b0_anchor,cpsc,0.9608,0.8105
b0_anchor,chapman,0.9932,0.9796
ckpt,downstream,ft10_auroc,ft10_auprc
b0_anchor,ptbxl,0.8756,0.6433
c1_nfh_b0,ptbxl,0.8604,0.6341
c2_nfh_trc,ptbxl,0.8860,0.6564
c2_nfh_trc,cpsc,0.9586,0.8092
c2_nfh_trc,chapman,0.9966,0.9889
