ckpt,eval,downstream,auroc,auprc
b0_anchor,lp,ptbxl,0.9116,0.7177
b0_anchor,lp,cpsc,0.9608,0.8105
b0_anchor,lp,chapman,0.9932,0.9796
c1_nfh_b0,lp,ptbxl,0.8907,0.6574
c1_nfh_b0,lp,cpsc,0.9538,0.7857
c1_nfh_b0,lp,chapman,0.9964,0.9891
c2_nfh_trc,lp,ptbxl,0.8860,0.6564
c2_nfh_trc,lp,cpsc,0.9586,0.8092
c2_nfh_trc,lp,chapman,0.9966,0.9889
b0_anchor,ft10,ptbxl,0.8756,0.6433
c1_nfh_b0,ft10,ptbxl,0.8604,0.6341
